item_id,subsystem,qty,procurement_state,component,source_spec,current_decision,verification_gate,license_boundary,notes
D019,actuation,2,HOLD_LOAD_UNKNOWN,Drive motors and gearboxes,Exact motor model ratio encoder and stall current are absent from the public repository,Select only after wheel diameter mass center of gravity and target acceleration are known,Measure no-load current stall current wheel torque speed and thermal rise,Product terms apply,The README current figures are source claims and not a safe motor selection basis
D020,power,2,PROVISIONAL,2S LiPo packs in series,Repository states 4S total 16.8 V full 14.8 V nominal and 12.0 V empty,Use only after the motor and regulator voltage limits are confirmed,Capacity C-rating connector and fuse must pass measured peak-current test,Battery vendor and transport rules apply,Never series-connect unmatched state-of-charge packs
D021,power,1,ENGINEERING_REQUIRED,5 to 6 V servo BEC or regulator,Not fully specified by the repository,Specify from simultaneous servo stall current plus margin,Verify rail stays within servo limits during all four-servo motion,Product terms apply,Do not power four servos from the Mega 5 V pin
D022,power,1,ENGINEERING_REQUIRED,Logic power regulator,Repository states Mega 7 to 12 V but the battery is 4S,Use a regulator or approved input path that never applies 16.8 V to a 12 V-rated rail,Test full-charge input startup ripple temperature and brownout recovery,Product terms apply,The final architecture depends on the purchased control board
D023,power,1,ENGINEERING_REQUIRED,Main fuse master switch and emergency disconnect,Repository requires appropriate motor fuses and immediate power-cut capability,Place a reachable hardware disconnect and branch protection near the battery,Prove zero motor output after activation under worst-case load,Product terms apply,Software stop is not the sole emergency stop
D024,power,1,READY_TO_SOURCE,Battery voltage divider,10 kOhm high side plus 3.3 kOhm low side to A15,Use measured precision resistors and calibrate in firmware,Compare A15 reading with a calibrated meter at full and low voltage,Component terms apply,Enable battery monitoring only after the divider is connected
D025,signal,1,READY_TO_SOURCE,DFPlayer series resistor,Optional 1 kOhm resistor on the DFPlayer serial line,Fit during bench wiring unless the selected module documents otherwise,Verify reliable playback without serial corruption,Component terms apply,Repository labels this recommended
D026,power,1,READY_TO_SOURCE,Input decoupling capacitor,Optional 100 uF capacitor on battery input,Fit near the affected electronics with correct voltage and polarity rating,Check supply ripple and temperature during motor steps,Component terms apply,Value is a starting point rather than a complete EMC design
D027,wiring,1,ENGINEERING_REQUIRED,Wiring connectors strain relief and common grounds,Pin map is public but harness lengths and connector family are not,Create a labelled serviceable harness after the chassis is frozen,Continuity polarity pull-test bend-radius and moving-part clearance gates,Product terms apply,No hot-plugging while energized
D028,safety,1,ENGINEERING_REQUIRED,Wheel-off cradle tether and clear test area,Repository warns about moving parts and supervised operation,Use a cradle for first motor tests and a tether for first balance tests,Operator can cut power without entering the wheel envelope,Local workshop rules apply,Secure the head before balance testing
D029,thermal,1,ENGINEERING_REQUIRED,Driver and regulator ventilation or heatsinking,Repository requires adequate motor-driver ventilation,Design after measured losses and enclosure airflow are known,Run a timed worst-case thermal soak below component ratings,Product terms apply,No temperature claim is accepted from an open-air bench test alone
D030,firmware,1,READY_LOCAL,v3.4.3 Arduino firmware,Pinned commit e90aacd and local Mega compile proof,Use D-O_ibus_v3.4/D_O_printed_droid_rc_ibus_v3.4.3.ino,Recompile then record uploaded hash configuration and EEPROM map,Personal non-commercial license with notice and attribution,Flash 17 percent and RAM 18 percent prove compilation only
D031,signal,2,HOLD_BENCH_VERIFICATION,Servo outputs assigned to Mega D0 RX0 and D1 TX0,v3.4.3 assigns mainbar and head1 servos to pins 0 and 1 while Serial begin 9600 enables Serial0,Do not connect these servo signals during first USB upload or configuration; remap to non-UART pins or validate an isolation/multiplexing design,Logic-analyser proof of servo pulse width plus USB upload reset 9600 baud RX/TX menu integrity four-servo motion and failsafe,Arduino pin mapping is CC BY-SA; firmware remains personal non-commercial,This is physical pin contention in the audited source and remains HOLD until bench evidence exists
D032,signal,1,HOLD_VERSIONED_WIRING_REQUIRED,Version-locked wiring diagram and harness manifest,The official embedded v2.1 table maps four servos to D2 D3 D4 D5 while pinned v3.4.3 maps them to D0 D1 D5 D6,Generate the harness only from the exact compiled source constants and record firmware filename commit and SHA-256,Continuity-test all four servo signal nets and confirm the uploaded source hash before applying actuator power,Reference-page terms apply and the firmware remains personal non-commercial,Do not mix the generic v2.1 webpage wiring table with the v3.4.3 firmware
