item_id,subsystem,qty,procurement_state,component,source_spec,current_decision,verification_gate,license_boundary,notes
D021,power,1,ENGINEERING_REQUIRED,5 to 6 V servo BEC or regulator,Not fully specified by the repository,Specify from simultaneous servo stall current plus margin,Verify rail stays within servo limits during all four-servo motion,Product terms apply,Do not power four servos from the Mega 5 V pin
D022,power,1,ENGINEERING_REQUIRED,Logic power regulator,Repository states Mega 7 to 12 V but the battery is 4S,Use a regulator or approved input path that never applies 16.8 V to a 12 V-rated rail,Test full-charge input startup ripple temperature and brownout recovery,Product terms apply,The final architecture depends on the purchased control board
D023,power,1,ENGINEERING_REQUIRED,Main fuse master switch and emergency disconnect,Repository requires appropriate motor fuses and immediate power-cut capability,Place a reachable hardware disconnect and branch protection near the battery,Prove zero motor output after activation under worst-case load,Product terms apply,Software stop is not the sole emergency stop
D024,power,1,READY_TO_SOURCE,Battery voltage divider,10 kOhm high side plus 3.3 kOhm low side to A15,Use measured precision resistors and calibrate in firmware,Compare A15 reading with a calibrated meter at full and low voltage,Component terms apply,Enable battery monitoring only after the divider is connected
D025,signal,1,READY_TO_SOURCE,DFPlayer series resistor,Optional 1 kOhm resistor on the DFPlayer serial line,Fit during bench wiring unless the selected module documents otherwise,Verify reliable playback without serial corruption,Component terms apply,Repository labels this recommended
D026,power,1,READY_TO_SOURCE,Input decoupling capacitor,Optional 100 uF capacitor on battery input,Fit near the affected electronics with correct voltage and polarity rating,Check supply ripple and temperature during motor steps,Component terms apply,Value is a starting point rather than a complete EMC design
D027,wiring,1,ENGINEERING_REQUIRED,Wiring connectors strain relief and common grounds,Pin map is public but harness lengths and connector family are not,Create a labelled serviceable harness after the chassis is frozen,Continuity polarity pull-test bend-radius and moving-part clearance gates,Product terms apply,No hot-plugging while energized
D028,safety,1,ENGINEERING_REQUIRED,Wheel-off cradle tether and clear test area,Repository warns about moving parts and supervised operation,Use a cradle for first motor tests and a tether for first balance tests,Operator can cut power without entering the wheel envelope,Local workshop rules apply,Secure the head before balance testing
D029,thermal,1,ENGINEERING_REQUIRED,Driver and regulator ventilation or heatsinking,Repository requires adequate motor-driver ventilation,Design after measured losses and enclosure airflow are known,Run a timed worst-case thermal soak below component ratings,Product terms apply,No temperature claim is accepted from an open-air bench test alone
D030,firmware,1,READY_LOCAL,v3.4.3 Arduino firmware,Pinned commit e90aacd and local Mega compile proof,Use D-O_ibus_v3.4/D_O_printed_droid_rc_ibus_v3.4.3.ino,Recompile then record uploaded hash configuration and EEPROM map,Personal non-commercial license with notice and attribution,Flash 17 percent and RAM 18 percent prove compilation only
D031,signal,4,SOFTWARE_REMAP_READY_HOLD_PHYSICAL_CONTINUITY,Four servo outputs remapped away from Mega D0 RX0 and D1 TX0,The deterministic v3.4.3 safe-pin transformer assigns mainbar/head1/head2/head3 to D22/D23/D24/D25 and preserves Serial0,Build the safe-pin variant only from pinned commit e90aacd and source SHA-256 6cb3ce0d; do not connect actuator power until continuity and pulse tests pass,Logic-analyser proof of D22-D25 servo pulse width plus USB upload reset 9600 baud RX/TX menu integrity four-servo motion and failsafe,Arduino pin mapping is CC BY-SA; upstream firmware remains personal non-commercial and transformed source is not republished,Software collision is removed in the compiled variant but physical wiring and powered behavior remain NOT_RUN
D032,signal,1,VARIANT_WIRING_GENERATED_HOLD_CONTINUITY,Version-locked safe-pin wiring contract,Generated contract binds D22-D25 to transformed source SHA-256 f858c485 and releases D0/D1 for Serial0,Use engineering/do_safe_pin_variant_wiring.csv and compile evidence together; reject generic v2.1 or unpatched v3.4.3 diagrams,Continuity-test all four servo nets confirm the transformed source SHA-256 then prove USB menu and pulse behavior before actuator power,Reference-page terms apply and the firmware remains personal non-commercial,The wiring document now exists but flash and actuator-power release remain false until real bench evidence
